# Type map: Nern et al. 2025 optic-lobe inventory -> MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# Source: Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0); Supplementary Tables 1, 5, 7 (MOESM4 zip), hashes in docs/audits/receptor_sources_nern2025.md.
# tier: exact = identical type name in both inventories; class = MaleCNS '<prefix>_unclear' bin whose Nern subtypes all carry one prediction;
#       unmatched = MaleCNS optic-lobe-superclass type with no Nern counterpart (evidence says why). No alias / fuzzy rows were needed: all 732 Nern names are MaleCNS names.
# nern_nt: Sup_Table_1 'predicted neurotransmitter' (EM synapse classifier trained on 59 optic-lobe types; 'unclear' = low confidence, not independently confirmed).
# fw_nt: Sup_Table_7 FlyWire prediction for the matched FlyWire type (Eckstein et al. 2024 classifier, female brain). validated_*: Sup_Table_5 experimental transmitter
#       (FISH / bulk RNA-seq / antibody); validated_in_training = yes means the type was classifier ground truth, so it is not an independent check of nern_nt.
# malecns_*: from cache/neurons.parquet (model nt after the AL-LN override; mode over the type's cells, share of cells with that mode, cells with nt = unknown);
# out_syn_W = sum |c.W| over the type's output edges (sign-0 edges are zero); out_syn_raw = uncapped MaleCNS synapse count on the model's node set.
# NT vocabulary: acetylcholine gaba glutamate histamine dopamine octopamine serotonin unclear; 'a+b' = source lists two.
source_name,malecns_type,tier,evidence,n_cells_malecns,nern_main_group,nern_n_cells_R,nern_n_cells_L,nern_nt,fw_nt,t7_matched_as,validated_nt,validated_method,validated_reference,validated_in_training,malecns_superclass,malecns_nt,malecns_nt_share,malecns_n_unknown_nt,out_syn_W,out_syn_raw
LoVC13,LoVC13,exact,"identical name; Sup_Table_1 row 219 (instance LoVC13_R, 1 cells, VCN)",2,VCN,1,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,6614,6614.0
LoVC15,LoVC15,exact,"identical name; Sup_Table_1 row 220 (instance LoVC15_R, 3 cells, VCN)",6,VCN,3,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,21966,21966.0
LoVC16,LoVC16,exact,"identical name; Sup_Table_1 row 221 (instance LoVC16_R, 2 cells, VCN)",4,VCN,2,0,glutamate,gaba,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,102105,102105.0
LoVC17,LoVC17,exact,"identical name; Sup_Table_1 row 222 (instance LoVC17_R, 2 cells, VCN)",5,VCN,2,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,10078,10078.0
LoVC18,LoVC18,exact,"identical name; Sup_Table_1 row 223 (instance LoVC18_R, 2 cells, VCN)",4,VCN,2,0,dopamine,dopamine,1-to-1,dopamine,antibody staining of genetically marked cells,Mao and Davis 2009,no,visual_centrifugal,dopamine,1.0,0,0,29667.0
LoVC19,LoVC19,exact,"identical name; Sup_Table_1 row 224 (instance LoVC19_R, 2 cells, VCN)",4,VCN,2,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_centrifugal,acetylcholine,1.0,0,40615,40615.0
LoVC24,LoVC24,exact,"identical name; Sup_Table_1 row 225 (instance LoVC24_R, 3 cells, VCN)",10,VCN,3,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,8119,8119.0
LoVC26,LoVC26,exact,"identical name; Sup_Table_1 row 226 (instance LoVC26_R, 3 cells, VCN)",6,VCN,3,0,glutamate,gaba,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,3905,3905.0
LoVCLo1,LoVCLo1,exact,"identical name; Sup_Table_1 row 227 (instance LoVCLo1_R, 1 cells, VCN)",2,VCN,1,1,acetylcholine,acetylcholine,1-to-1,,,,,visual_centrifugal,acetylcholine,1.0,0,12620,12620.0
LoVCLo2,LoVCLo2,exact,"identical name; Sup_Table_1 row 228 (instance LoVCLo2_R, 1 cells, VCN)",2,VCN,1,1,unclear,serotonin,1-to-1,,,,,visual_centrifugal,unknown,1.0,2,0,14808.0
LoVCLo3,LoVCLo3,exact,"identical name; Sup_Table_1 row 229 (instance LoVCLo3_R, 1 cells, VCN)",2,VCN,1,1,octopamine,octopamine,1-to-1,octopamine,antibody staining of genetically marked cells,Busch et al 2009,no,visual_centrifugal,octopamine,1.0,0,0,40059.0
LoVP1,LoVP1,exact,"identical name; Sup_Table_1 row 230 (instance LoVP1_R, 27 cells, VPN)",52,VPN,27,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,26340,26340.0
LoVP2,LoVP2,exact,"identical name; Sup_Table_1 row 231 (instance LoVP2_R, 23 cells, VPN)",44,VPN,23,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,17965,17965.0
LoVP3,LoVP3,exact,"identical name; Sup_Table_1 row 232 (instance LoVP3_R, 6 cells, VPN)",12,VPN,6,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3368,3368.0
LoVP4,LoVP4,exact,"identical name; Sup_Table_1 row 233 (instance LoVP4_R, 5 cells, VPN)",12,VPN,5,0,unclear,acetylcholine,3-to-1,,,,,visual_projection,acetylcholine,1.0,0,2864,2864.0
LoVP5,LoVP5,exact,"identical name; Sup_Table_1 row 234 (instance LoVP5_R, 12 cells, VPN)",27,VPN,12,0,acetylcholine,acetylcholine,3-to-1,,,,,visual_projection,acetylcholine,1.0,0,8432,8432.0
LoVP6,LoVP6,exact,"identical name; Sup_Table_1 row 235 (instance LoVP6_R, 11 cells, VPN)",22,VPN,11,0,acetylcholine,acetylcholine,3-to-1,,,,,visual_projection,acetylcholine,1.0,0,16774,16774.0
LoVP7,LoVP7,exact,"identical name; Sup_Table_1 row 236 (instance LoVP7_R, 12 cells, VPN)",20,VPN,12,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,4651,4651.0
LoVP8,LoVP8,exact,"identical name; Sup_Table_1 row 237 (instance LoVP8_R, 9 cells, VPN)",22,VPN,9,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4843,4843.0
LoVP9,LoVP9,exact,"identical name; Sup_Table_1 row 238 (instance LoVP9_R, 6 cells, VPN)",13,VPN,6,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,1632,1632.0
LoVP10,LoVP10,exact,"identical name; Sup_Table_1 row 239 (instance LoVP10_R, 9 cells, VPN)",15,VPN,9,0,unclear,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,6487,6487.0
LoVP11,LoVP11,exact,"identical name; Sup_Table_1 row 240 (instance LoVP11_R, 4 cells, VPN)",8,VPN,4,0,unclear,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,2446,2446.0
LoVP12,LoVP12,exact,"identical name; Sup_Table_1 row 241 (instance LoVP12_R, 19 cells, VPN)",42,VPN,19,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7589,7589.0
LoVP13,LoVP13,exact,"identical name; Sup_Table_1 row 242 (instance LoVP13_R, 24 cells, VPN)",51,VPN,24,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,10055,10055.0
LoVP14,LoVP14,exact,"identical name; Sup_Table_1 row 243 (instance LoVP14_R, 9 cells, VPN)",19,VPN,9,0,acetylcholine,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,21651,21651.0
LoVP16,LoVP16,exact,"identical name; Sup_Table_1 row 244 (instance LoVP16_R, 5 cells, VPN)",11,VPN,5,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,10723,10723.0
LoVP17,LoVP17,exact,"identical name; Sup_Table_1 row 245 (instance LoVP17_R, 4 cells, VPN)",8,VPN,4,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6503,6503.0
LoVP18,LoVP18,exact,"identical name; Sup_Table_1 row 246 (instance LoVP18_R, 6 cells, VPN)",12,VPN,6,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,15323,15323.0
LoVP19,LoVP19,exact,"identical name; Sup_Table_1 row 247 (instance LoVP19_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,6-to-6,,,,,visual_projection,acetylcholine,1.0,0,598,598.0
LoVP20,LoVP20,exact,"identical name; Sup_Table_1 row 248 (instance LoVP20_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,6-to-6,,,,,visual_projection,acetylcholine,1.0,0,1644,1644.0
LoVP21,LoVP21,exact,"identical name; Sup_Table_1 row 249 (instance LoVP21_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,6-to-6,,,,,visual_projection,acetylcholine,1.0,0,2008,2008.0
LoVP22,LoVP22,exact,"identical name; Sup_Table_1 row 250 (instance LoVP22_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,6-to-6,,,,,visual_projection,acetylcholine,1.0,0,1724,1724.0
LoVP23,LoVP23,exact,"identical name; Sup_Table_1 row 251 (instance LoVP23_R, 3 cells, VPN)",6,VPN,3,0,unclear,acetylcholine,6-to-6,,,,,visual_projection,acetylcholine,1.0,0,4504,4504.0
LoVP24,LoVP24,exact,"identical name; Sup_Table_1 row 252 (instance LoVP24_R, 4 cells, VPN)",8,VPN,4,0,unclear,acetylcholine,1-to-2,,,,,visual_projection,acetylcholine,1.0,0,3993,3993.0
LoVP25,LoVP25,exact,"identical name; Sup_Table_1 row 253 (instance LoVP25_R, 3 cells, VPN)",6,VPN,3,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4699,4699.0
LoVP26,LoVP26,exact,"identical name; Sup_Table_1 row 254 (instance LoVP26_R, 6 cells, VPN)",12,VPN,6,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,11412,11412.0
LoVP27,LoVP27,exact,"identical name; Sup_Table_1 row 255 (instance LoVP27_R, 5 cells, VPN)",10,VPN,5,0,acetylcholine,acetylcholine,6-to-6,,,,,visual_projection,acetylcholine,1.0,0,4337,4337.0
LoVP28,LoVP28,exact,"identical name; Sup_Table_1 row 256 (instance LoVP28_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2713,2713.0
LoVP29,LoVP29,exact,"identical name; Sup_Table_1 row 257 (instance LoVP29_R, 1 cells, VPN)",2,VPN,1,0,unclear,gaba,1-to-1,,,,,visual_projection,gaba,1.0,0,3233,3233.0
LoVP30,LoVP30,exact,"identical name; Sup_Table_1 row 258 (instance LoVP30_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,2398,2398.0
LoVP31,LoVP31,exact,"identical name; Sup_Table_1 row 259 (instance LoVP31_R, 1 cells, VPN)",1,VPN,1,0,unclear,,unmatched,,,,,visual_projection,acetylcholine,1.0,0,1563,1563.0
LoVP32,LoVP32,exact,"identical name; Sup_Table_1 row 260 (instance LoVP32_R, 3 cells, VPN)",6,VPN,3,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6810,6810.0
LoVP33,LoVP33,exact,"identical name; Sup_Table_1 row 261 (instance LoVP33_R, 3 cells, VPN)",6,VPN,3,0,unclear,gaba,1-to-1,,,,,visual_projection,gaba,1.0,0,2985,2985.0
LoVP34,LoVP34,exact,"identical name; Sup_Table_1 row 262 (instance LoVP34_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2778,2778.0
LoVP35,LoVP35,exact,"identical name; Sup_Table_1 row 263 (instance LoVP35_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3114,3114.0
LoVP36,LoVP36,exact,"identical name; Sup_Table_1 row 264 (instance LoVP36_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,4645,4645.0
LoVP37,LoVP37,exact,"identical name; Sup_Table_1 row 265 (instance LoVP37_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,cb_intrinsic,glutamate,1.0,0,2278,2278.0
LoVP38,LoVP38,exact,"identical name; Sup_Table_1 row 266 (instance LoVP38_R, 2 cells, VPN)",4,VPN,2,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3289,3289.0
LoVP39,LoVP39,exact,"identical name; Sup_Table_1 row 267 (instance LoVP39_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6390,6390.0
LoVP40,LoVP40,exact,"identical name; Sup_Table_1 row 268 (instance LoVP40_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,5306,5306.0
LoVP41,LoVP41,exact,"identical name; Sup_Table_1 row 269 (instance LoVP41_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2772,2772.0
LoVP42,LoVP42,exact,"identical name; Sup_Table_1 row 270 (instance LoVP42_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,5496,5496.0
LoVP43,LoVP43,exact,"identical name; Sup_Table_1 row 271 (instance LoVP43_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3066,3066.0
LoVP44,LoVP44,exact,"identical name; Sup_Table_1 row 272 (instance LoVP44_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2961,2961.0
LoVP45,LoVP45,exact,"identical name; Sup_Table_1 row 273 (instance LoVP45_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,5225,5225.0
LoVP46,LoVP46,exact,"identical name; Sup_Table_1 row 274 (instance LoVP46_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,6932,6932.0
LoVP47,LoVP47,exact,"identical name; Sup_Table_1 row 275 (instance LoVP47_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,5030,5030.0
LoVP48,LoVP48,exact,"identical name; Sup_Table_1 row 276 (instance LoVP48_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4472,4472.0
LoVP49,LoVP49,exact,"identical name; Sup_Table_1 row 277 (instance LoVP49_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6113,6113.0
LoVP50,LoVP50,exact,"identical name; Sup_Table_1 row 278 (instance LoVP50_R, 4 cells, VPN)",7,VPN,4,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,13040,13040.0
LoVP51,LoVP51,exact,"identical name; Sup_Table_1 row 279 (instance LoVP51_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3572,3572.0
LoVP52,LoVP52,exact,"identical name; Sup_Table_1 row 280 (instance LoVP52_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,1530,1530.0
LoVP53,LoVP53,exact,"identical name; Sup_Table_1 row 281 (instance LoVP53_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7116,7116.0
LoVP54,LoVP54,exact,"identical name; Sup_Table_1 row 282 (instance LoVP54_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,11034,11034.0
LoVP55,LoVP55,exact,"identical name; Sup_Table_1 row 283 (instance LoVP55_R, 2 cells, VPN)",4,VPN,2,0,unclear,,unmatched,,,,,visual_projection,acetylcholine,1.0,0,1927,1927.0
LoVP56,LoVP56,exact,"identical name; Sup_Table_1 row 284 (instance LoVP56_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3343,3343.0
LoVP57,LoVP57,exact,"identical name; Sup_Table_1 row 285 (instance LoVP57_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2488,2488.0
LoVP58,LoVP58,exact,"identical name; Sup_Table_1 row 286 (instance LoVP58_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,1966,1966.0
LoVP59,LoVP59,exact,"identical name; Sup_Table_1 row 287 (instance LoVP59_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6804,6804.0
LoVP60,LoVP60,exact,"identical name; Sup_Table_1 row 288 (instance LoVP60_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2745,2745.0
LoVP61,LoVP61,exact,"identical name; Sup_Table_1 row 289 (instance LoVP61_R, 2 cells, VPN)",4,VPN,2,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3007,3007.0
LoVP62,LoVP62,exact,"identical name; Sup_Table_1 row 290 (instance LoVP62_R, 2 cells, VPN)",4,VPN,2,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4470,4470.0
LoVP63,LoVP63,exact,"identical name; Sup_Table_1 row 291 (instance LoVP63_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7098,7098.0
LoVP64,LoVP64,exact,"identical name; Sup_Table_1 row 292 (instance LoVP64_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3754,3754.0
LoVP65,LoVP65,exact,"identical name; Sup_Table_1 row 293 (instance LoVP65_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2328,2328.0
LoVP66,LoVP66,exact,"identical name; Sup_Table_1 row 294 (instance LoVP66_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2173,2173.0
LoVP67,LoVP67,exact,"identical name; Sup_Table_1 row 295 (instance LoVP67_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3683,3683.0
LoVP68,LoVP68,exact,"identical name; Sup_Table_1 row 296 (instance LoVP68_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,5915,5915.0
LoVP69,LoVP69,exact,"identical name; Sup_Table_1 row 297 (instance LoVP69_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,5503,5503.0
LoVP70,LoVP70,exact,"identical name; Sup_Table_1 row 298 (instance LoVP70_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4242,4242.0
LoVP71,LoVP71,exact,"identical name; Sup_Table_1 row 299 (instance LoVP71_R, 2 cells, VPN)",4,VPN,2,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4023,4023.0
LoVP72,LoVP72,exact,"identical name; Sup_Table_1 row 300 (instance LoVP72_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2878,2878.0
LoVP73,LoVP73,exact,"identical name; Sup_Table_1 row 301 (instance LoVP73_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,5340,5340.0
LoVP74,LoVP74,exact,"identical name; Sup_Table_1 row 302 (instance LoVP74_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7649,7649.0
LoVP75,LoVP75,exact,"identical name; Sup_Table_1 row 303 (instance LoVP75_R, 3 cells, VPN)",5,VPN,3,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4266,4266.0
LoVP76,LoVP76,exact,"identical name; Sup_Table_1 row 304 (instance LoVP76_R, 2 cells, VPN)",4,VPN,2,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,7231,7231.0
LoVP77,LoVP77,exact,"identical name; Sup_Table_1 row 305 (instance LoVP77_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,2436,2436.0
LoVP78,LoVP78,exact,"identical name; Sup_Table_1 row 306 (instance LoVP78_R, 1 cells, VPN)",3,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3296,3296.0
LoVP79,LoVP79,exact,"identical name; Sup_Table_1 row 307 (instance LoVP79_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4444,4444.0
LoVP80,LoVP80,exact,"identical name; Sup_Table_1 row 308 (instance LoVP80_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,2031,2031.0
LoVP81,LoVP81,exact,"identical name; Sup_Table_1 row 309 (instance LoVP81_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,1-to-1,,,,,cb_intrinsic,acetylcholine,1.0,0,1785,1785.0
LoVP82,LoVP82,exact,"identical name; Sup_Table_1 row 310 (instance LoVP82_R, 2 cells, VPN)",4,VPN,2,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3203,3203.0
LoVP83,LoVP83,exact,"identical name; Sup_Table_1 row 311 (instance LoVP83_R, 3 cells, VPN)",7,VPN,3,0,unclear,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,6863,6863.0
LoVP84,LoVP84,exact,"identical name; Sup_Table_1 row 312 (instance LoVP84_R, 4 cells, VPN)",7,VPN,4,0,unclear,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,2609,2609.0
LoVP85,LoVP85,exact,"identical name; Sup_Table_1 row 313 (instance LoVP85_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,5758,5758.0
LoVP86,LoVP86,exact,"identical name; Sup_Table_1 row 314 (instance LoVP86_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4378,4378.0
LoVP88,LoVP88,exact,"identical name; Sup_Table_1 row 315 (instance LoVP88_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4924,4924.0
LoVP89,LoVP89,exact,"identical name; Sup_Table_1 row 316 (instance LoVP89_R, 2 cells, VPN)",5,VPN,2,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,5707,5707.0
LoVP90a,LoVP90a,exact,"identical name; Sup_Table_1 row 317 (instance LoVP90a_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7489,7489.0
LoVP90b,LoVP90b,exact,"identical name; Sup_Table_1 row 318 (instance LoVP90b_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6943,6943.0
LoVP90c,LoVP90c,exact,"identical name; Sup_Table_1 row 319 (instance LoVP90c_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6362,6362.0
LoVP91,LoVP91,exact,"identical name; Sup_Table_1 row 320 (instance LoVP91_R, 1 cells, VPN)",2,VPN,1,0,unclear,gaba,1-to-1,,,,,cb_intrinsic,gaba,1.0,0,6333,6333.0
LoVP92,LoVP92,exact,"identical name; Sup_Table_1 row 321 (instance LoVP92_R, 6 cells, VPN)",13,VPN,6,0,gaba,,unmatched,,,,,visual_projection,acetylcholine,1.0,0,9431,9431.0
LoVP93,LoVP93,exact,"identical name; Sup_Table_1 row 322 (instance LoVP93_R, 6 cells, VPN)",12,VPN,6,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7180,7180.0
LoVP94,LoVP94,exact,"identical name; Sup_Table_1 row 323 (instance LoVP94_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,cb_intrinsic,glutamate,1.0,0,1255,1255.0
LoVP95,LoVP95,exact,"identical name; Sup_Table_1 row 324 (instance LoVP95_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,1938,1938.0
LoVP96,LoVP96,exact,"identical name; Sup_Table_1 row 325 (instance LoVP96_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,11657,11657.0
LoVP97,LoVP97,exact,"identical name; Sup_Table_1 row 326 (instance LoVP97_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,cb_intrinsic,acetylcholine,1.0,0,6968,6968.0
LoVP98,LoVP98,exact,"identical name; Sup_Table_1 row 327 (instance LoVP98_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,1608,1608.0
LoVP99,LoVP99,exact,"identical name; Sup_Table_1 row 328 (instance LoVP99_R, 1 cells, VPN)",2,VPN,1,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3247,3247.0
LoVP100,LoVP100,exact,"identical name; Sup_Table_1 row 329 (instance LoVP100_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,9470,9470.0
LoVP101,LoVP101,exact,"identical name; Sup_Table_1 row 330 (instance LoVP101_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,17506,17506.0
LoVP102,LoVP102,exact,"identical name; Sup_Table_1 row 331 (instance LoVP102_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,21035,21035.0
LoVP103,LoVP103,exact,"identical name; Sup_Table_1 row 332 (instance LoVP103_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4857,4857.0
LoVP105,LoVP105,exact,"identical name; Sup_Table_1 row 333 (instance LoVP105_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,cb_intrinsic,acetylcholine,1.0,0,1246,1246.0
